Name,Description,lat,lng
CIERRE DE VIAS Y MANIFESTACIONES,#: 1234<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Quitumbe Ñan y S50D<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.32236771792063057<br>longitud: -78.55418883486129,-0.322367718,-78.55418883
CIERRE DE VIAS Y MANIFESTACIONES,#: 1207<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Maldonado y S50<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.3206787109466292<br>longitud: -78.54961225206227,-0.320678711,-78.54961225
CIERRE DE VIAS Y MANIFESTACIONES,#: 1228<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Maldonado y S50<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.3206787109466292<br>longitud: -78.54961225206227,-0.320678711,-78.54961225
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: Av. Maldonado y Julio Andrade<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.3184532<br>longitud: -78.5492669,-0.3184532,-78.5492669
CIERRE DE VIAS Y MANIFESTACIONES,#: 1232<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO:  Av. Mariscal Sucre y Julio Andrade<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.31822592497382035<br>longitud: -78.55761729008911,-0.318225925,-78.55761729
CIERRE DE VIAS Y MANIFESTACIONES,#: 1210<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Maldonado e Islas Malvinas<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.31738480330602176<br>longitud: -78.54906848764404,-0.317384803,-78.54906849
CIERRE DE VIAS Y MANIFESTACIONES,#: 1231<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Maldonado e Islas Malvinas<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.31738480330602176<br>longitud: -78.54906848764404,-0.317384803,-78.54906849
CIERRE DE VIAS Y MANIFESTACIONES,#: 1235<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Quitumbe Ñan y Federico Angulo<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.3142555681990447<br>longitud: -78.55338454999308,-0.314255568,-78.55338455
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: Av. Maldonado (Puente de Cutuglahua)<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.3103711<br>longitud: -78.5462443,-0.3103711,-78.5462443
CIERRE DE VIAS Y MANIFESTACIONES,#: <br>HORA: <br>FECHA: <br>EVENTO: Av. Quitumbe Ñan y Federico Angulo<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.307108<br>longitud: -78.5517329,-0.307108,-78.5517329
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: Av. Maldonado y Guayanay Ñan<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.3041024<br>longitud: -78.5427427,-0.3041024,-78.5427427
CIERRE DE VIAS Y MANIFESTACIONES,"#: <br>HORA: <br>FECHA: <br>EVENTO: Av. Simón Bolivar, sector San Martín<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.3007901<br>longitud: -78.5212237",-0.3007901,-78.5212237
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: Av. Maldonado y Álamos<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2994632<br>longitud: -78.5420606,-0.2994632,-78.5420606
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: Mariscal Sucre y Rumihurco<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2994247<br>longitud: -78.5590866,-0.2994247,-78.5590866
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: Av. Maldonado y Amaru Ñan<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2935122<br>longitud: -78.5398037,-0.2935122,-78.5398037
CIERRE DE VIAS Y MANIFESTACIONES,#: <br>HORA: <br>FECHA: <br>EVENTO: Av. Mariscal sucre y Cóndor Ñan<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.291887<br>longitud: -78.5582675,-0.291887,-78.5582675
CIERRE DE VIAS Y MANIFESTACIONES,#: 1211<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO:  Av. Maldonado y Morán Valverde<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2894798854171204<br>longitud: -78.53848959253439,-0.289479885,-78.53848959
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: Av. Maldonado y 21 de Agosto<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2834599<br>longitud: -78.5355095,-0.2834599,-78.5355095
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: Princesa Toa y Camilo Ponce<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2819171<br>longitud: -78.4912079,-0.2819171,-78.4912079
CIERRE DE VIAS Y MANIFESTACIONES,#: 1194<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Mariscal Sucre; Sector de Chillogallo<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.281682381501585<br>longitud: -78.55388447573178,-0.281682382,-78.55388448
CIERRE DE VIAS Y MANIFESTACIONES,#: 1212<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO:  Av. Mariscal Sucre (Mercado Las Cuadras)<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.28150733837191<br>longitud: -78.55369347786399,-0.281507338,-78.55369348
CIERRE DE VIAS Y MANIFESTACIONES,#: 1238<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Mariscal Sucre (Mercado Las Cuadras)<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.28148051660600376<br>longitud: -78.55369884228215,-0.281480517,-78.55369884
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: Morán Valverde y Rumichaca<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2809097<br>longitud: -78.5488176,-0.2809097,-78.5488176
CIERRE DE VIAS Y MANIFESTACIONES,#: 1193<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Cierres de vías en la Av. Simón Bolivar; sector de La Argelia<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.27363959944654087<br>longitud: -78.50993313087282,-0.273639599,-78.50993313
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: Camilo Ponce y Monserrat<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2734713<br>longitud: -78.4953985,-0.2734713,-78.4953985
MANIFESTACIONES,"#: 1178<br>HORA: 02:00 a 04:00<br>FECHA: 6/21/2022<br>EVENTO: Manifestantes en los exteriores del Mercado Mayorista, aproximadamente 50 personas, se evidencia quema de llantas en la entrada principal del lugar.<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.27243137146011376<br>longitud: -78.53725422789282",-0.272431371,-78.53725423
MANIFESTACIONES,#: 1179<br>HORA: 04:00 a 06:00<br>FECHA: 6/21/2022<br>EVENTO: Continúan manifestantes en los exteriores del Mercado Mayorista  quemando llantas en la entrada principal del lugar.<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.27243137146011376<br>longitud: -78.53725422789282,-0.272431371,-78.53725423
MANIFESTACIONES,#: 1188<br>HORA: 04:00 a 06:00<br>FECHA: 6/21/2022<br>EVENTO: Manifestantes en los exteriores del Mercado Mayorista<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.27243137146011376<br>longitud: -78.53725422789282,-0.272431371,-78.53725423
MANIFESTACIONES,#: 1192<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Quema de llantas en el M. Mayorista<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.27243137146011376<br>longitud: -78.53725422789282,-0.272431371,-78.53725423
CIERRE DE VIAS Y MANIFESTACIONES,#: <br>HORA: <br>FECHA: <br>EVENTO: Av. Mariscal Sucre y Cusubamba<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2711811<br>longitud: -78.5518696,-0.2711811,-78.5518696
CIERRE DE VIAS Y MANIFESTACIONES,#: 1236<br>HORA: 08:00 a 10:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Teniente Hugo Ortiz (Mercado Mayorista)<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2703576404421347<br>longitud: -78.53574576555314,-0.27035764,-78.53574577
CIERRE DE VIAS Y MANIFESTACIONES,#: <br>HORA: <br>FECHA: <br>EVENTO: Tnte. Hugo Ortiz y Ajaví<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2686332<br>longitud: -78.5333265,-0.2686332,-78.5333265
CIERRE DE VIAS Y MANIFESTACIONES,#: 1216<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Humberrto Duque y Rio San Pedro<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2680024956615945<br>longitud: -78.4491808884033,-0.268002496,-78.44918089
CIERRE DE VIAS Y MANIFESTACIONES,#: <br>HORA: <br>FECHA: <br>EVENTO: Av. Mariscal Sucre y Tabiazo<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2643687<br>longitud: -78.5498299,-0.2643687,-78.5498299
CIERRE DE VIAS Y MANIFESTACIONES,#: <br>HORA: <br>FECHA: <br>EVENTO: Ajaví y Serapio Japerab<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2617282<br>longitud: -78.5384192,-0.2617282,-78.5384192
CIERRE DE VIAS Y MANIFESTACIONES,#: <br>HORA: <br>FECHA: <br>EVENTO: Av. Mariscal Sucre y Ajaví<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2568222<br>longitud: -78.542788,-0.2568222,-78.542788
CIERRE DE VIAS,#: <br>HORA: <br>FECHA: <br>EVENTO: Av. Maldonado y Carrión<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2512757<br>longitud: -78.5214087,-0.2512757,-78.5214087
