"Name","Description","Latitude","Longitude"
CIERRE DE VIAS,OID_: 1<br>Dirección: Cierres peatonales en Centro Historico de Quito: Bolivar y Garcia Moreno<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2219660084<br>longitud: -78.51435152,-0.2219660084,-78.51435152
CIERRE DE VIAS,OID_: 2<br>Dirección: CIERRE CENTRO HISTORICO: Bolivar y Venezuela<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2225823<br>longitud: -78.5135695,-0.2225823,-78.5135695
CIERRE DE VIAS,OID_: 3<br>Dirección: Cierres peatonales en Centro Historico de Quito: Guayaquil y Espejo<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2211798618<br>longitud: -78.51134348,-0.2211798618,-78.51134348
CIERRE DE VIAS,OID_: 4<br>Dirección: Cierres peatonales en Centro Historico de Quito: Guayaquil y Chile<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2205129673<br>longitud: -78.51079401,-0.2205129673,-78.51079401
CIERRE DE VIAS Y MANIFESTACIONES,OID_: 7<br>Dirección: Av. Intervalles<br>Estado movilizacion: PARCIALMENTE HABILITADA<br>latitud: -0.24565<br>longitud: -78.4426062,-0.24565,-78.4426062
CIERRE DE VIAS Y MANIFESTACIONES,OID_: 8<br>Dirección: Av. Maldonado y S60 ETERNIT<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.3449069<br>longitud: -78.5487224,-0.3449069,-78.5487224
CIERRE DE VIAS,OID_: 11<br>Dirección: CIERRE CENTRO HISTORICO: Mejia y Gracia Moreno<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2189042<br>longitud: -78.511685,-0.2189042,-78.511685
CIERRE DE VIAS,OID_: 12<br>Dirección: CIERRE CENTRO HISTORICO:<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2183611<br>longitud: -78.5123829,-0.2183611,-78.5123829
CIERRE DE VIAS,OID_: 13<br>Dirección: CIERRE CENTRO HISTORICO:<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2212782<br>longitud: -78.5149993,-0.2212782,-78.5149993
CIERRE DE VIAS,OID_: 14<br>Dirección: CIERRE CENTRO HISTORICO:<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2205809<br>longitud: -78.5143341,-0.2205809,-78.5143341
CIERRE DE VIAS,OID_: 15<br>Dirección: CIERRE CENTRO HISTORICO:<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2190628<br>longitud: -78.5129286,-0.2190628,-78.5129286
CIERRE DE VIAS,OID_: 18<br>Dirección: CIERRE CENTRO HISTORICO: GUAYAQUIL Y ROCAFUERTE<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.22379<br>longitud: -78.5133002,-0.22379,-78.5133002
CIERRE DE VIAS,OID_: 19<br>Dirección: CIERRE CENTRO HISTORICO: GUAYAQUIL Y BOLIVAR<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2231016<br>longitud: -78.5128483,-0.2231016,-78.5128483
CIERRE DE VIAS,OID_: 20<br>Dirección: CIERRE CENTRO HISTORICO: GUAYAQUIL Y MEJIA<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.219847<br>longitud: -78.5102282,-0.219847,-78.5102282
CIERRE DE VIAS,OID_: 21<br>Dirección: CIERRE CENTRO HISTORICO: GUAYAQUIL OLMEDO<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.219234<br>longitud: -78.5097509,-0.219234,-78.5097509
CIERRE DE VIAS,OID_: 22<br>Dirección: CIERRE CENTRO HISTORICO: VENEZUELA MANABI <br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2180734<br>longitud: -78.5099466,-0.2180734,-78.5099466
CIERRE DE VIAS,OID_: 23<br>Dirección: CIERRE CENTRO HISTORICO:VENEZUELA Y MEJIA<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2193535<br>longitud: -78.5109457,-0.2193535,-78.5109457
CIERRE DE VIAS,OID_: 24<br>Dirección: CIERRE CENTRO HISTORICO:GARCIA MORENO Y OLMEDO<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2182281<br>longitud: -78.5111269,-0.2182281,-78.5111269
CIERRE DE VIAS,OID_: 25<br>Dirección: CIERRE CENTRO HISTORICO: CUENCA Y OLMEDO<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2171878<br>longitud: -78.5125149,-0.2171878,-78.5125149
CIERRE DE VIAS,OID_: 26<br>Dirección: CIERRE CENTRO HISTORICO:CUENCA Y MEJIA<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2178489<br>longitud: -78.5130983,-0.2178489,-78.5130983
CIERRE DE VIAS,OID_: 27<br>Dirección: CIERRE CENTRO HISTORICO: CUENCA Y CHILE<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2185361<br>longitud: -78.5136889,-0.2185361,-78.5136889
CIERRE DE VIAS,OID_: 28<br>Dirección: CIERRE CENTRO HISTORICO: <br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2195988<br>longitud: -78.5133925,-0.2195988,-78.5133925
CIERRE DE VIAS,OID_: 29<br>Dirección: CIERRE CENTRO HISTORICO: ESMERALDAS DESDE LA CUENCA HASTA LA GUAYAQUIL<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2183242<br>longitud: -78.5082691,-0.2183242,-78.5082691
CIERRE DE VIAS,OID_: 30<br>Dirección: CIERRE CENTRO HISTORICO: JUAN MONTALVO Y GRAN COLOMBIA<br>Estado movilizacion: CIERRE TOTAL<br>latitud: -0.2134565<br>longitud: -78.4979931,-0.2134565,-78.4979931
