"Name","Description","Latitude","Longitude"
CIERRE DE VIAS,OID_: 14<br>Dirección: CIERRE CENTRO HISTORICO:<br>Estado movilizacion: PARCIALMENTE HABILITADA<br>latitud: -0.2205809<br>longitud: -78.5143341,-0.2205809,-78.5143341
CIERRE DE VIAS,OID_: 15<br>Dirección: CIERRE CENTRO HISTORICO:<br>Estado movilizacion: PARCIALMENTE HABILITADA<br>latitud: -0.2190628<br>longitud: -78.5129286,-0.2190628,-78.5129286
CIERRE DE VIAS,OID_: 28<br>Dirección: CIERRE CENTRO HISTORICO: <br>Estado movilizacion: PARCIALMENTE HABILITADA<br>latitud: -0.2195988<br>longitud: -78.5133925,-0.2195988,-78.5133925
CIERRE DE VIAS,OID_: <br>Dirección: PIEDRAHITA Y GRAN COLOMBIA<br>Estado movilizacion: PARCIALMENTE HABILITADA<br>latitud: -0.2140928<br>longitud: -78.498961,-0.2140928,-78.498961
CIERRE DE VIAS,OID_: <br>Dirección: GARCIA MORENO Y SUCRE<br>Estado movilizacion: PARCIALMENTE HABILITADA<br>latitud: -0.2211969<br>longitud: -78.5136946,-0.2211969,-78.5136946
CIERRE DE VIAS,OID_: <br>Dirección: García Moreno y Chile<br>Estado movilizacion: PARCIALMENTE HABILITADA<br>latitud: -0.219551<br>longitud: -78.5122274,-0.219551,-78.5122274
CIERRE DE VIAS,OID_: <br>Dirección: Venezuela y Chile<br>Estado movilizacion: PARCIALMENTE HABILITADA<br>latitud: -0.2200429<br>longitud: -78.5115205,-0.2200429,-78.5115205
CIERRE DE VIAS,OID_: <br>Dirección: Sucre y García Moreno<br>Estado movilizacion: PARCIALMENTE HABILITADA<br>latitud: -0.2218841<br>longitud: -78.5129946,-0.2218841,-78.5129946
VIAS CON ESCOMBROS,ID: 8<br>DIRECCIÓN: Nanegalito_La Armenia<br>LATITUD: 0.0663351<br>LONGITUD: -78.6925578,0.0663351,-78.6925578
VIAS CON ESCOMBROS,ID: <br>DIRECCIÓN: INTERVALLES-COMUNA LA TOGLLA<br>LATITUD: -0.2502769<br>LONGITUD: -78.4423093,-0.2502769,-78.4423093
VIAS CON ESCOMBROS,ID: <br>DIRECCIÓN: SECTOR CUNUNYACU<br>LATITUD: -0.2305051<br>LONGITUD: -78.4297888,-0.2305051,-78.4297888
VIAS CON ESCOMBROS,ID: <br>DIRECCIÓN: REDONDEL GUAYLLABAMBA<br>LATITUD: -0.0485581<br>LONGITUD: -78.3422046,-0.0485581,-78.3422046
VIAS CON ESCOMBROS,ID: <br>DIRECCIÓN: TARQUI ENTRE 10 AGOSTO -12 DE OCTUBRE<br>LATITUD: -0.2118577<br>LONGITUD: -78.4974118,-0.2118577,-78.4974118
VIAS CON ESCOMBROS,ID: <br>DIRECCIÓN: OE4 Y JULIO ANDRADE<br>LATITUD: -0.3179838<br>LONGITUD: -78.5559833,-0.3179838,-78.5559833
VIAS CON ESCOMBROS,ID: <br>DIRECCIÓN: OE4 Y CLODOVEO CARRION<br>LATITUD: -0.3322258<br>LONGITUD: -78.5557643,-0.3322258,-78.5557643
