"Name","Description","Latitude","Longitude"
CIERRE DE VIAS Y MANIFESTACIONES,#: 1187<br>HORA: 04:00 a 06:00<br>FECHA: 6/21/2022<br>EVENTO: Cierre redondel de Mareza<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.018959774204276813<br>longitud: -78.45255359608804,-0.0189597742042768,-78.452553596088
CIERRE DE VIAS,#: 1196<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Cierre de vías en la intersección de las vías 5 de Junio y Rodrigo de Chávez<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.238895<br>longitud: -78.5234073,-0.238895,-78.5234073
CIERRE DE VIAS,#: 1201<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Cierres peatonales en Centro Histórico de Quito: Bolivar y Garcia Moreno<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.22196600836581232<br>longitud: -78.514351518926,-0.221966008365812,-78.514351518926
CIERRE DE VIAS,#: 1202<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Cierres peatonales en Centro Histórico de Quito: Bolivar y Venezuela<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.22258231930190714<br>longitud: -78.51356952567129,-0.222582319301907,-78.5135695256713
CIERRE DE VIAS,#: 1203<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Cierres peatonales en Centro Histórico de Quito: Guayaquil y Espejo<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.22117986180863514<br>longitud: -78.51134347904397,-0.221179861808635,-78.511343479044
CIERRE DE VIAS,#: 1204<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Cierres peatonales en Centro Histórico de Quito: Guayaquil y Chile<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.2205129672894373<br>longitud: -78.51079401462576,-0.220512967289437,-78.5107940146258
CIERRE DE VIAS Y MANIFESTACIONES,#: 1206<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Maldonado y Patricio Romero<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.35511488176455913<br>longitud: -78.5492597790434,-0.355114881764559,-78.5492597790434
CIERRE DE VIAS Y MANIFESTACIONES,#: 1207<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Maldonado y S50<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.3206787109466292<br>longitud: -78.54961225206227,-0.320678710946629,-78.5496122520623
CIERRE DE VIAS Y MANIFESTACIONES,#: 1208<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Maldonado y S60<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.34490686919839625<br>longitud: -78.54872235132923,-0.344906869198396,-78.5487223513292
CIERRE DE VIAS Y MANIFESTACIONES,#: 1209<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Maldonado y S55A<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.33281575315138273<br>longitud: -78.55043948671644,-0.332815753151383,-78.5504394867164
CIERRE DE VIAS Y MANIFESTACIONES,#: 1210<br>HORA: 06:00 a 08:00<br>FECHA: 6/21/2022<br>EVENTO: Av. Maldonado e Islas Malvinas<br>ESTADO DE MOVILIZACION: CIERRE TOTAL<br>latitud: -0.31738480330602176<br>longitud: -78.54906848764404,-0.317384803306022,-78.549068487644
